Name of Bird,Genus,Species,Site,Date first seen,City (optional),County (optional),State,Country ,Continent,Comments,,,,,
Brown Babbler,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Spotted Morning-Thrush,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Brown-tailed Chat,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Ruepell's Glossy-Starling,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Bristle-crowned Starling,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Kenya Violet-backed Sunbird,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Beautiful Sunbird,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
White-bellied Buffalo-Weaver,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Little Weaver,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Northern Masked-Weaver,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Golden-backed Weaver,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Red-billed Quelea,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Northern Red Bishop,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Green-winged Pytillia,,,Lake Baringo,9/5/2015,,,,Kenya,Africa,,,,,,
Black-shouldered Kite,Elanus,caeruleus,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
Long-crested Eagle,,,Tugen Hills,9/6/2015,,,,Kenya,Africa,,,,,,
White-crested Turaco,,,Tugen Hills,9/6/2015,,,,Kenya,Africa,,,,,,
Narina Trogon,,,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
European Bee-Eater,,,Kitale,9/6/2015,,,,Kenya,Africa,,,,,,
Black-and-white Casqued-Hornbill,,,Tugen Hills,9/6/2015,,,,Kenya,Africa,,,,,,
Gray-throated Barbet,,,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
Double-toothed Barbet,,,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
Lesser Honeyguide,,,Kitale,9/6/2015,,,,Kenya,Africa,,,,,,
Purple-throated Cuckooshrike,,,Kitale,9/6/2015,,,,Kenya,Africa,,,,,,
African Hill-Babbler,,,Tugen Hills,9/6/2015,,,,Kenya,Africa,,,,,,
Red-winged Starling,,,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
Mariqua Sunbird,,,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
Yellow-fronted Canary,,,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
Southern Citril,,,Tugen Hills,9/6/2015,,,,Kenya,Africa,,,,,,
Chestnut-Crowned Sparrow-Weaver,,,Tugen Hills,9/6/2015,,,,Kenya,Africa,,,,,,
Yellow-shouldered Widowbird (macroura),,,Kerio Valley,9/6/2015,,,,Kenya,Africa,,,,,,
Little Bittern,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Wahlberg's Eagle,,,Kongalei Escarpment,9/7/2015,,,,Kenya,Africa,,,,,,
Tambourine Dove,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Ross's Turaco,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Levaillant's Cuckoo,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
African Swift,Apus ,barbutus,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Striped Kingfisher,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Giant Kingfisher,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Broad-billed Roller,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Green Woodhoopoe,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Crowned Hornbill,,,Kongalei Escarpment,9/7/2015,,,,Kenya,Africa,,,,,,
White-headed Barbet (nominate),,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Lanner Falcon,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Meyer's Parrot,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Sulphur-Breased Bushshrike,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Gray-headed Bushshrike,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Mosque Swallow,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
White-headed Sawwing,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Gray-capped Warbler,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
African Yellow White-Eye,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Pale Flycatcher,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
African Thrush,,,Kongalei Escarpment,9/7/2015,,,,Kenya,Africa,,,,,,
Lesser Blue-eared Glossy-Starling,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Yellow-throated Longclaw,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Northern Gray-headed Sparrow,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Heuglen's Masked-Weaver,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Grosbeak Weaver,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Common Waxbill,,,Kerenget Dam,9/7/2015,,,,Kenya,Africa,,,,,,
Village Indigobird,,,Kokiyo,9/7/2015,,,,Kenya,Africa,,,,,,
Blue-headed Coucal,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
African Gray Woodpecker,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Black-throated Wattle-Eye,,,Kakamega Forest,9/8/2015,,,,Kenya,Africa,,,,,,
Marsh Tchraga,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Luedher's Bushshrike,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
African Blue-Flycatcher,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Little Rush-Warbler,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Black-collared Apalis,,,Kakamega Forest,9/8/2015,,,,Kenya,Africa,,,,,,
Winding Cisticola,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Levaillant's Cisticola,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Holub's Golden-Weaver,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Black-headed Weaver,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Yellow Bishop,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
Fan-tailed Widowbird,,,Saiwa Swamp,9/8/2015,,,,Kenya,Africa,,,,,,
European Honey-Buzzard,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Red-chested Cuckoo,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Blue-headed Bee-Eater,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
White-throated Bee-Eater,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
White-headed Woodhoopoe,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Yellow-billed Barbet,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Yellow-spotted Barbet,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Brown-throated Wattle-Eye,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Pink-footed Puffback,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Mackinnon's Shrike,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Square-tailed Drongo,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Dusky Tit,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Shelley's Greenbul (Kakamega),,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Joyful Greenbul,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Plain Greenbul,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Little Greenbul,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
White-chinned Prinia,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Chubb's Cisticola,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Turner's Eromomela,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Snowy-crowned Robin-Chat,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Stuhlmann's Starling,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Black-billed Weaver,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Forest Weaver,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Brown-capped Weaver,,,Kakamega Forest,9/9/2015,,,,Kenya,Africa,,,,,,
Great Blue Turaco,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Chestnut Wattle-Eye,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Jameson's Wattle-Eye,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Gray-green Bushshrike,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Petit's Cuckooshrike,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Western Black-headed Oriole,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Angola Swallow,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Dusky-crested Flycatcher,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Buff-throated Apalis,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Black-faced Rufous-Warbler,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Banded Prinia (Black-faced),,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Mountain Illadopsis,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Green Sunbird,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Western Olive Sunbird,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Black-necked Weaver,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Yellow-shouldered Widowbird (macrocerca),,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
Gray-headed Nigrita,,,Kakamega Forest,9/10/2015,,,,Kenya,Africa,,,,,,
African Openbill,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Palm-nut Vulture,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Lizard Buzzard,,,Nzoia River,9/11/2015,,,,Kenya,Africa,,,,,,
Rock Pratincole,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Senegal Coucal,,,Saio River,9/11/2015,,,,Kenya,Africa,,,,,,
Brown-crowned Tchraga,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Black-headed Gonolek,,,Nzoia River,9/11/2015,,,,Kenya,Africa,,,,,,
Lesser-striped Swallow,,,Saio River,9/11/2015,,,,Kenya,Africa,,,,,,
Yellow-throated Greenbul,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Moustached Grass-Warbler,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
African Yellow-Warbler,,,Saio River,9/11/2015,,,,Kenya,Africa,,,,,,
Northern Black-Flycatcher,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Swamp Flycatcher,,,Nzoia River,9/11/2015,,,,Kenya,Africa,,,,,,
Brown-backed Scrub-Robin,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Olive-bellied Sunbird,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Red-chested Sunbird,,,Nzoia River,9/11/2015,,,,Kenya,Africa,,,,,,
Orange-tufted Sunbird,,,Saio River,9/11/2015,,,,Kenya,Africa,,,,,,
Copper Sunbird,,,Kisumu,9/11/2015,,,,Kenya,Africa,,,,,,
Vieillot's Weaver,,,Kakamega Forest,9/11/2015,,,,Kenya,Africa,,,,,,
Cape Teal,,,Ahero Rice Fields,9/12/2015,,,,Kenya,Africa,,,,,,
Black Crake,,,Ahero Rice Fields,9/12/2015,,,,Kenya,Africa,,,,,,
Long-toed Lapwing,,,Ahero Rice Fields,9/12/2015,,,,Kenya,Africa,,,,,,
Eastern Plantain-Eater,,,Lake Victoria Shore,9/12/2015,,,,Kenya,Africa,,,,,,
Papyrus Gonolek,,,Ahero Rice Fields,9/12/2015,,,,Kenya,Africa,,,,,,
Rufous-Naped Lark,,,Lake Nukuru N.P. ,9/12/2015,,,,Kenya,Africa,,,,,,
Greater Swamp-Warbler,,,Lake Victoria Shore,9/12/2015,,,,Kenya,Africa,,,,,,
African Citril,,,Lake Victoria Shore,9/12/2015,,,,Kenya,Africa,,,,,,
Slender-billed Weaver,,,Lake Victoria Shore,9/12/2015,,,,Kenya,Africa,,,,,,
Pin-tailed Whydah,,,Ahero Rice Fields,9/12/2015,,,,Kenya,Africa,,,,,,
Hottentot Teal,,,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Southern Pochard,,,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Maccoa Duck,,,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Coqui Francolin,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Lesser Flamingo,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Wooly-Necked Stork,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Saddle-billed Stork,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Great White Pelican,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
White Stork,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Ruepell's Griffon,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Purple Swamphen,Porphyrio,porphyrio,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Pied Avocet,,,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Kittlitz's Plover,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Curlew Sandpiper,,,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Little Stint,,,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Klaas's Cuckoo,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Diderick Cuckoo,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Nyanza Swift,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
White-fronted Bee-Eater,,,Limuru Pond,9/13/2015,,,,Kenya,Africa,,,,,,
Eurasian Hoopoe (African),Upupa ,epops (africana),Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
White-bellied Tit,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Pectoral-patch Cisticola,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Little Rock-Thrush,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Mocking Cliff-Chat,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
African Quailfinch,,,Lake Nukuru N.P. ,9/13/2015,,,,Kenya,Africa,,,,,,
Red-necked Francolin,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Secretary Bird,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Steppe Eagle,,,Kichwa Tembo,9/14/2015,,,,Kenya,Africa,,,,,,
Lappet-faced Vulture,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Black-breasted Snake-Eagle,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Short-toed Snake-Eagle,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Black-bellied Bustard,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Wattled Lapwing,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Little Bee-Eater,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Southern Ground-Hornbill,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Arrow-marked Babbler,,,Kichwa Tembo,9/14/2015,,,,Kenya,Africa,,,,,,
Sooty Chat,,,Kichwa Tembo,9/14/2015,,,,Kenya,Africa,,,,,,
Yellow-billed Oxpecker,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Purple Grenadier,,,Masai Mara,9/14/2015,,,,Kenya,Africa,,,,,,
Spur-winged Goose,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Harlequin Quail,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Rufous-bellied Heron,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Dwarf Bittern,,,Kichwa Tembo,9/15/2015,,,,Kenya,Africa,,,,,,
Martial Eagle,,,Kichwa Tembo,9/15/2015,,,,Kenya,Africa,,,,,,
Western Marsh-Harrier,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Water Thick-Knee,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Temminck's Courser,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
D'Arnaud's Barbet (usambiro),,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Banded Martin,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Stout Cisticola,,,Kichwa Tembo,9/15/2015,,,,Kenya,Africa,,,,,,
Croaking Cisticola,,,Kichwa Tembo,9/15/2015,,,,Kenya,Africa,,,,,,
Black-backed Cisticola,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Black-lored Babbler,,,Kichwa Tembo,9/15/2015,,,,Kenya,Africa,,,,,,
Cinnamon-breasted Bunting,,,Masai Mara,9/15/2015,,,,Kenya,Africa,,,,,,
Rufous-necked Wryneck,,,Masai Mara,9/16/2015,,,,Kenya,Africa,,,,,,
Black-crowned Tchraga,,,Masai Mara,9/16/2015,,,,Kenya,Africa,,,,,,
Black Cuckooshrike,,,Masai Mara,9/16/2015,,,,Kenya,Africa,,,,,,
Red-faced Cisticola,,,Masai Mara,9/16/2015,,,,Kenya,Africa,,,,,,
Hildebrandt's Starling,,,Masai Mara,9/16/2015,,,,Kenya,Africa,,,,,,
Long-billed Pipit,,,Masai Mara,9/16/2015,,,,Kenya,Africa,,,,,,
Black-headed Lapwing,,,Lukenya,9/17/2015,,,,Kenya,Africa,,,,,,
Long-tailed Fiscal,,,Lukenya,9/17/2015,,,,Kenya,Africa,,,,,,
Red-winged Lark,,,Lukenya,9/17/2015,,,,Kenya,Africa,,,,,,
Red-throated Tit,,,Lukenya,9/17/2015,,,,Kenya,Africa,,,,,,
African Penduline-Tit,,,Tsavo East,9/17/2015,,,,Kenya,Africa,,,,,,
Gray Wren-Warbler,,,Lukenya,9/17/2015,,,,Kenya,Africa,,,,,,
Banded Warbler (Parisoma),,,Tsavo East,9/17/2015,,,,Kenya,Africa,,,,,,
Red-billed Buffalo-Weaver,,,Tsavo East,9/17/2015,,,,Kenya,Africa,,,,,,
Gray-headed Social-Weaver,,,Lukenya,9/17/2015,,,,Kenya,Africa,,,,,,
Black Goshawk,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Kori Bustard,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Hartlaub's Bustard,,,VOI Safari Lodge,9/18/2015,,,,Kenya,Africa,,,,,,
Wahlberg's Honeyguide,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
House Crow,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Stripe-cheeked Greenbul (stripe-faced),,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Cabanis's Greenbul (Placid),,,Tsavo East,9/18/2015,,,,Kenya,Africa,,,,,,
Yellow-throated Wood-Warbler,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Broad-winged White-Eye (Taita),,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
White-breasted White-Eye,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
White-starred Robin,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Taita Thrush,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Striped Pipit,,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Pangani Longclaw,,,VOI Safari Lodge,9/18/2015,,,,Kenya,Africa,,,,,,
Black-and-White Mannikin (Red-backed),,,Taita Hills,9/18/2015,,,,Kenya,Africa,,,,,,
Common Ringed-Plover,,,Tsavo East,9/19/2015,,,,Kenya,Africa,,,,,,
Caspian Plover,,,Tsavo East,9/19/2015,,,,Kenya,Africa,,,,,,
Somali Courser,,,Tsavo East,9/19/2015,,,,Kenya,Africa,,,,,,
Chestnut-headed Sparrow-Lark,,,Tsavo East,9/19/2015,,,,Kenya,Africa,,,,,,
Northern Brownbul,,,Tsavo East,9/19/2015,,,,Kenya,Africa,,,,,,
Tsavo Sunbird,,,Tsavo East,9/19/2015,,,,Kenya,Africa,,,,,,
Golden Pipit,,,Tsavo East,9/19/2015,,,,Kenya,Africa,,,,,,
Lesser Masked-Weaver,,,Watamu,9/19/2015,,,,Kenya,Africa,,,,,,
Ayre's Hawk-Eagle,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Fischer's Turaco,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Sukoke Scops-Owl,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
African Wood-Owl,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Retz's Helmetshrike,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Chestnut-fronted Helmetshrike,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Zanzibar Boubou,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Yellow-bellied Greenbul,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Yellow Flycatcher (Little),,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Red-tailed Ant-Thrush,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Black-bellied Glossy-Starling,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
African Golden-Weaver,,,Turtle Bay Resort,9/20/2015,Watamu,,,Kenya,Africa,,,,,,
Golden Palm-Weaver,,,Turtle Bay Resort,9/20/2015,Watamu,,,Kenya,Africa,,,,,,
Peters's Twinspot,,,Sukoki Forest,9/20/2015,,,,Kenya,Africa,,,,,,
Crested Guineafowl,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
Greater Flamingo,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Black-bellied Plover,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Lesser Sand-Plover (Mongolian),,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Terek Sandpiper,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Whimbrel (European),,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Crab Plover,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Gull-billed Tern (African),,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Trumpeter Hornbill,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
Green Barbet,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
Mombasa Woodpecker,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
Pale Batis,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
African Golden-Oriole,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
Sombre Greenbul,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
Red-capped Robin-Chat,,,Sukoki Forest,9/21/2015,,,,Kenya,Africa,,,,,,
Amani Sunbird,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Mouse-colored Sunbird,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
African Pipit,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Malindi Pipit,,,Mida Creek Estuary,9/21/2015,,,,Kenya,Africa,,,,,,
Greater Sand-Plover,,,Malindi Beach,9/22/2015,,,,Kenya,Africa,,,,,,
Sooty Gull,,,Malindi Beach,9/22/2015,,,,Kenya,Africa,,,,,,
Lesser Black-backed Gull (Heuglin's),,,Malindi Beach,9/22/2015,,,,Kenya,Africa,,,,,,
Great Crested Tern,,,Malindi Beach,9/22/2015,,,,Kenya,Africa,,,,,,
Lesser Crested Tern,,,Malindi Beach,9/22/2015,,,,Kenya,Africa,,,,,,
Northern Carmine Bee-Eater,,,Drive to Mombasa,9/22/2015,,,,Kenya,Africa,,,,,,
Short-tailed Batis,,,Sukoki Forest,9/22/2015,,,,Kenya,Africa,,,,,,
Tiny Greenbul,,,Sukoki Forest,9/22/2015,,,,Kenya,Africa,,,,,,
Black-headed Apalis,,,Sukoki Forest,9/22/2015,,,,Kenya,Africa,,,,,,
Ashy Flycather,,,Sukoki Forest,9/22/2015,,,,Kenya,Africa,,,,,,
Plain-backed Sunbird,,,Sukoki Forest,9/22/2015,,,,Kenya,Africa,,,,,,
Monk Parakeet,,,Barcelona,9/8/2016,Barcelona,,,Spain ,Eurasia,,,,,,
Western Bonellis Warbler,,,Southern Portugal,9/13/2016,,,,Portugal,Eurasia,,,,,,
Water Rail,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Little Owl,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Crested Lark,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Willow Warbler,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Pied Flycatcher,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Garden Warbler,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Spotless Starling,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Corn Bunting,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Sardinia Warbler,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Short-toed Treecreeper,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Iberian Chiffchaff,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Iberian Gray Shrike,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Azure-winged Magpie,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
Zitting Cisticola,,,Southern Portugal,9/14/2016,,,,Portugal,Eurasia,,,,,,
